numero,proyecto,fecha,estado,titulo,autores
14705,14705/2025-CR,2026-06-01,EN COMISIÓN,PROYECTO DE LEY QUE ESTABLECE MEDIDAS PARA FORTALECER LA CARRERA Y LAS CONDICIONES LABORALES DE LOS DOCENTES DE LOS INSTITUTOS DE EDUCACIÓN SUPERIOR (IES) Y DE LAS ESCUELAS DE EDUCACIÓN SUPERIOR (EES),"Paredes Gonzales, Alex Antonio; Valer Pinto, Héctor; Zea Choquechambi, Oscar; Zegarra Saboya, Ana Zadith; Gutiérrez Ticona, Paul Silvio; Pazo Nunura, Jose Bernardo; Medina Hermosilla, Elizabeth Sara"
14706,14706/2025-CR,2026-06-01,EN AGENDA DE LA COMISIÓN PERMANENTE,PROYECTO DE LEY DE NAVEGACIÓN FLUVIAL EN LA AMAZONÍA,"Mori Celis, Juan Carlos; Martínez Talavera, Pedro Edwin; Alva Prieto, María del Carmen; Alva Rojas, Carlos Enrique; Aragón Carreño, Luis Ángel; Monteza Facho, Silvia María"
14707,14707/2025-PE,2026-06-01,Publicada en el Diario Oficial El Peruano,PROYECTO DE RESOLUCIÓN LEGISLATIVA QUE AUTORIZA EL INGRESO DE UNIDADES NAVALES Y DE PERSONAL MILITAR EXTRANJERO CON ARMAS DE GUERRA AL TERRITORIO DE LA REPÚBLICA DEL PERÚ ,
14708,14708/2025-PE,2026-06-01,Publicada en el Diario Oficial El Peruano,PROYECTO DE RESOLUCIÓN LEGISLATIVA QUE AUTORIZA EL INGRESO Y TRÁNSITO DE UNA UNIDAD NAVAL Y DE PERSONAL MILITAR EXTRANJERO CON ARMAS DE GUERRA AL TERRITORIO DE LA REPÚBLICA DEL PERÚ,
14709,14709/2025-CR,2026-06-01,EN COMISIÓN,PROYECTO DE LEY QUE CREA EL FONDO DE RESPUESTA INMEDIATA PARA LA BÚSQUEDA DE MUJERES Y PERSONAS MENORES DE EDAD DESAPARECIDAS (FOBIM) Y ESTABLECE UN CLASIFICADOR PRESUPUESTAL ESPECIFICO EN LA POLICÍA NACIONAL DEL PERÚ Y EL MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES,"Laura Rojas, Judith; Bellido Ugarte, Guido; Tello Montes, Nivardo Edgar; Espinoza Vargas, Jhaec Darwin; Picón Quedo, Luis Raúl; Arriola Tueros, José Alberto; Juárez Calle, Heidy Lisbeth"
14710,14710/2025-CR,2026-06-01,EN COMISIÓN,PROYECTO DE LEY QUE ESTABLECE ESTÁNDARES MÍNIMOS DE INTELIGENCIA ARTIFICIAL EN EL SISTEMA UNIVERSITARIO NACIONAL,"Laura Rojas, Judith; Bellido Ugarte, Guido; Arriola Tueros, José Alberto; Tello Montes, Nivardo Edgar; Espinoza Vargas, Jhaec Darwin; Picón Quedo, Luis Raúl; Juárez Calle, Heidy Lisbeth"
14711,14711/2025-CR,2026-06-01,DICTAMEN,LEY QUE AMPLÍA EL PLAZO DISPUESTO EN EL ARTÍCULO 7 DE LA LEY 31277 – LEY QUE AUTORIZA A LA MUNICIPALIDAD PROVINCIAL DE CHICLAYO A EXPROPIAR INMUEBLES PARA LA EJECUCIÓN DE LA OBRA MUNICIPAL DENOMINADA NUEVO Y MODERNO MERCADO MODELO DE CHICLAYO,"Acuña Peralta, María Grimaneza; Salhuana Cavides, Eduardo; Cordero Jon Tay, Luis Gustavo; Chiabra León, Roberto Enrique; Ruíz Rodríguez, Magaly Rosmery; García Correa, Idelso Manuel"
14712,14712/2025-CR,2026-06-02,DICTAMEN,"PROYECTO DE LEY QUE AUTORIZA DE FORMA EXCEPCIONAL EL AUMENTO DE HORAS PEDAGÓGICAS POR SEMANA DE TIEMPO PARCIAL A TIEMPO COMPLETO DE DOCENTES DE INSTITUTOS DE EDUCACIÓN SUPERIOR (IES) Y ESCUELAS DE EDUCACIÓN SUPERIOR (EES) EN EL MARCO DE LA LEY 30512, LEY DE INSTITUTOS Y ESCUELAS DE EDUCACIÓN SUPERIOR Y DE LA CARRERA PÚBLICA DE SUS DOCENTES","Montalvo Cubas, Segundo Toribio; Agüero Gutiérrez, María Antonieta; Cerrón Rojas, Waldemar José; Cruz Mamani, Flavio; Espiritu Cavero, Raul; Mita Alanoca, Isaac"
14713,14713/2025-CR,2026-06-02,EN COMISIÓN,"PROYECTO DE RESOLUCIÓN LEGISLATIVA QUE MODIFICA EL ARTÍCULO 45 DEL REGLAMENTO DE LA CÁMARA DE DIPUTADOS, APROBADO MEDIANTE RESOLUCIÓN LEGISLATIVA DEL CONGRESO N.° 005-2025-2026-CR, A FIN DE RESTITUIR LA COMISIÓN DE CULTURA Y PATRIMONIO CULTURAL COMO COMISIÓN ORDINARIA LEGISLATIVA","Paredes Piqué, Susel Ana María; Reymundo Mercado, Edgard Cornelio; Zeballos Madariaga, Carlos Javier; Tacuri Valdivia, Germán Adolfo; Robles Araujo, Silvana Emperatriz; Ruíz Rodríguez, Magaly Rosmery"
14714,14714/2025-CR,2026-06-02,EN COMISIÓN,"PROYECTO DE LEY QUE DEROGA LA LEY N.° 31990, LEY QUE MODIFICA LOS ARTÍCULOS 473, 476-A Y 481-A DEL NUEVO CÓDIGO PROCESAL PENAL, A FIN DE FORTALECER EL PROCESO ESPECIAL POR COLABORACIÓN EFICAZ","Sánchez Palomino, Roberto Helbert; Varas Meléndez, Elías Marcial; Quispe Mamani, Wilson Rusbel; Coayla Juárez, Jorge Samuel; Quito Sarmiento, Bernardo Jaime; Cutipa Ccama, Víctor Raúl; Limachi Quispe, Nieves Esmeralda"
14715,14715/2025-CR,2026-06-02,EN COMISIÓN,"PROYECTO DE LEY QUE MODIFICA LA LEY N.° 32579, LEY DE CONVERSIÓN DEL INSTITUTO DE EDUCACIÓN SUPERIOR PÚBLICO TÚPAC AMARU DEL CUSCO EN UNIVERSIDAD NACIONAL TECNOLÓGICA TÚPAC AMARU DEL CUSCO (UNTTAC), A FIN DE GARANTIZAR SU IMPLEMENTACIÓN PRESUPUESTAL Y LA CONFORMACIÓN DE SU COMISIÓN ORGANIZADORA","Bellido Ugarte, Guido; Laura Rojas, Judith; Espinoza Vargas, Jhaec Darwin; Arriola Tueros, José Alberto; Paredes Castro, Francis Jhasmina; Tello Montes, Nivardo Edgar"
14716,14716/2025-CR,2026-06-02,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA IMPLEMENTACIÓN DE ACCIONES PARA LA CONSERVACIÓN, RESTAURACIÓN Y RECUPERACIÓN DE LOS ECOSISTEMAS NATURALES QUE PROPORCIONAN SERVICIOS HIDROLÓGICOS EN LA REGIÓN CUSCO","Luque Ibarra, Ruth; Reymundo Mercado, Edgard Cornelio; Bazán Narro, Sigrid Tesoro; Zeballos Madariaga, Carlos Javier"
14717,14717/2025-CR,2026-06-02,EN COMISIÓN,PROYECTO DE LEY QUE OPTIMIZA EL PROCESO DE INTEGRACIÓN DE LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO POR OPERADORES ESPECIALIZADOS EN PEQUEÑAS CIUDADES,"Bazán Calderón, Diego Alonso Fernando; Córdova Lobatón, María Jessica; Chirinos Venegas, Patricia Rosa; Ciccia Vásquez, Miguel Ángel; Zeballos Aponte, Jorge Arturo; Medina Minaya, Esdras Ricardo"
14718,14718/2025-CR,2026-06-03,APROBADO,"PROYECTO DE LEY QUE DECLARA EL 10 DE JULIO DE CADA AÑO DÍA NO LABORABLE EN EL DEPARTAMENTO DE MADRE DE DIOS, POR CONMEMORARSE EL ANIVERSARIO DE FUNDACIÓN HISTÓRICA DE LA CIUDAD DE PUERTO MALDONADO","Salhuana Cavides, Eduardo; Cordero Jon Tay, Luis Gustavo; Flores Ancachi, Jorge Luis; García Correa, Idelso Manuel; Camones Soriano, Lady Mercedes; Chiabra León, Roberto Enrique; Heidinger Ballesteros, Nelcy Lidia"
14719,14719/2025-CR,2026-06-03,EN COMISIÓN,PROYECTO DE LEY QUE FACULTA A LOS GOBIERNOS REGIONALES Y LOCALES A FINANCIAR INVERSIONES EN MATERIA DE SEGURIDAD CIUDADANA DE LA AUTORIDAD MARÍTIMA NACIONAL,"Montoya Manrique, Jorge Carlos; Cueto Aservi, José Ernesto; Acuña Peralta, Segundo Héctor; Echaíz de Núñez Izaga, Gladys Margot"
